40%	22.49	4.96	111.61	4834	0.162	912	8.18	
45%	22.47	6	134.81	5181	0.187	1053	7.81
50%	22.45	7.26	163.08	5558	0.215	1208	7.41
55%	22.43	8.88	199.17	5990	0.249	1396	7.01
60%	22.39	10.87	243.44	6404	0.29	1619	6.65
65%	22.35	13.47	300.9	6895	0.34	1890	6.28
70%	22.3	16.12	359.46	7313	0.386	2140	5.95
75%	22.25	19.27	428.67	7732	0.438	2412	5.63
80%	22.19	22.6	501.48	8119	0.494	2711	5.41
90%	22.06	30.77	678.62	8940	0.607	3289	4.85
100%	21.99	34.89	767.14	9252	0.667	3575	4.66
